factor_name,factor_expression
Historical-Volatility-Volume-Price-Sentiment Factor,"(RANK(STD($close, 10)) + RANK(STD($volume, 10)) + RANK(ABS($close - $open)) + RANK(ABS($high - $low)) + RANK(CORR($close, $volume, 10))) / 5"
Realized Volatility-ADX Hybrid Factor,"STD(($close - DELAY($close, 1)) / DELAY($close, 1), 20) / (MEAN(MAX($high - $low, MAX(ABS($high - DELAY($close, 1)), ABS($low - DELAY($close, 1)))), 14) + 1e-8) * ((SMA((MAX($high - DELAY($high, 1), $low - DELAY($low, 1))), 14, 1) - SMA((ABS($high - $low)), 14, 1)) / (SMA((MAX($high - DELAY($high, 1), $low - DELAY($low, 1))), 14, 1) + 1e-8))"
Short-Term-Volume-Stability-Factor-V3,"ABS(($close - $open) / $open) * RANK(STD($volume, 5) + 1e-8)"
Combined-Price-Volume-Dynamics-Factor-V2,"RANK(CORR($close, $volume, 20)) * RANK(SUM($close, 30))"
Dynamic-Short-Term-Factor-V5,"(0.3 * RANK(SUM($close, 5))) + (0.4 * RANK(ABS($close - $open))) + (0.3 * RANK(SUM($volume, 5)))"
Ensemble-Method Factor,"RANK(SUM(REGRESI(SEQUENCE(5), $close, 5), 5))"
Hybrid-Factor-Price-Volume-Sentiment,"ZSCORE($open) * ZSCORE($close) * ZSCORE($high) * ZSCORE($low) * ZSCORE($volume)"
Volatility-Trend Factor3,"(BB_UPPER($close, 20) - BB_LOWER($close, 20)) / (EMA($high - $low, 15) + 1e-8)"
Intraday-Pattern-Volatility-Factor-2,"ABS($high - $low) / (STD($close, 20) + 1e-7)"
Drawdown-Minimization-Factor,"1 - ($high / TS_MAX($high, 20) + 1e-8)"
Return-Enhancement-Factor3,"ZSCORE($close - TS_MIN($low, 20))"
Regime_Switching_Volatility_Factor,"ZSCORE(STD($high - $low, 20))"
Price_Volume_Trend_Factor_1,"(EMA($close, 5) - EMA($close, 20)) * EMA($volume, 10)"
Dynamic_Volatility_Bands_Momentum_Stochastic_Oscillator_Factor,"(($close - TS_MIN($low, 14)) / (TS_MAX($high, 14) - TS_MIN($low, 14) + 1e-8)) * 100"
