factor_name,factor_expression
0,"SIGN(POW(0.5, $high)) * LOG(ABS(POW(0.5, $high)))"
1,"SIGN(MEAN(ABS((-0.5*(DELTA($volume+30.0,10)/DELAY($volume+30.0,10))*$high - MEAN(-0.5*(DELTA($volume+30.0,10)/DELAY($volume+30.0,10))*$high,20))),20)) * LOG(ABS(MEAN(ABS((-0.5*(DELTA($volume+30.0,10)/DELAY($volume+30.0,10))*$high - MEAN(-0.5*(DELTA($volume+30.0,10)/DELAY($volume+30.0,10))*$high,20))),20)))"
2,"(1.0/((TS_MIN(1.0/((SIGN(($close+0.5)/$close) * LOG(ABS(($close+0.5)/$close)))/$close),5)/2.0) * SIGN(SIGN(SIGN(-0.01-$volume) * LOG(ABS(-0.01-$volume))) * LOG(ABS(SIGN(-0.01-$volume) * LOG(ABS(-0.01-$volume)))))))"
3,"SIGN(1.0/SIGN(CORR($close, ((0.5+$volume+2.0)/WMA($high,5)**1.0),30)-2.0) * LOG(ABS(1.0/SIGN(CORR($close, ((0.5+$volume+2.0)/WMA($high,5)**1.0),30)-2.0)))) * LOG(ABS(1.0/SIGN(CORR($close, ((0.5+$volume+2.0)/WMA($high,5)**1.0),30)-2.0)))"
4,"SIGN(SIGN(SIGN(SIGN(STD(SIGN(SIGN(-5.0*($close-$low)) * LOG(ABS(-5.0*($close-$low)))) * LOG(ABS(SIGN(-5.0*($close-$low)) * LOG(ABS(-5.0*($close-$low)))))*30.0,20)) * LOG(ABS(STD(SIGN(SIGN(-5.0*($close-$low)) * LOG(ABS(-5.0*($close-$low)))) * LOG(ABS(SIGN(-5.0*($close-$low)) * LOG(ABS(-5.0*($close-$low)))))*30.0,20))) +0.01)) * LOG(ABS(SIGN(SIGN(SIGN(-5.0*($close-$low)) * LOG(ABS(-5.0*($close-$low)))) * LOG(ABS(SIGN(-5.0*($close-$low)) * LOG(ABS(-5.0*($close-$low)))))*30.0,20)))))"
5,"(MEDIAN(TS_DIV(DELAY((30.0*$low*(-30.0)),20)*30.0,30),50) + (1.0/$open) +10.0)"
6,"SIGN($close/((SIGN((-5.0-$high)*(-0.5)/$volume) * LOG(ABS((-5.0-$high)*(-0.5)/$volume))) -0.01)) * LOG(ABS($close/((SIGN((-5.0-$high)*(-0.5)/$volume) * LOG(ABS((-5.0-$high)*(-0.5)/$volume))) -0.01)))"
7,"SUM(1.0/SIGN(SIGN(SIGN(SUM($low-2.0,10)) * LOG(ABS(SUM($low-2.0,10)))*30.0) * LOG(ABS(SIGN(SUM($low-2.0,10)) * LOG(ABS(SUM($low-2.0,10)))*30.0))) * LOG(ABS(SIGN(SIGN(SUM($low-2.0,10)) * LOG(ABS(SUM($low-2.0,10)))*30.0) * LOG(ABS(SIGN(SUM($low-2.0,10)) * LOG(ABS(SUM($low-2.0,10)))*30.0)))) -30.0,10)"
8,"SIGN(1.0/SIGN(VAR(TS_DIV((-10.0+$close)/10.0,5)*30.0,5)+30.0) * LOG(ABS(1.0/SIGN(VAR(TS_DIV((-10.0+$close)/10.0,5)*30.0,5)+30.0)))) +30.0"
10,"((10.0 + (((SIGN(SIGN(SIGN($low) * LOG(ABS($low))) * LOG(ABS(SIGN($low) * LOG(ABS($low))))) * LOG(ABS(SIGN(SIGN($low) * LOG(ABS($low))) * LOG(ABS(SIGN($low) * LOG(ABS($low)))))))/(-30.0)) * (-5.0 * TS_DIV(TS_DIV($close,40),50))) -30.0))/30.0)"
