factor_name,factor_expression
1,"MAD(MEAN((1.0-INV((($close-$open)/(((-0.01+($open+2.0))/10.0)+30.0)))),5),5)"
2,"((1.0*LOG(ts_cov(($close+-10.0),$volume,10)))+30.0)"
3,"((-30.0*LOG(MEAN(INV($low),40)))*($high+$low+$close+$open)/4)"
4,"((10.0+(($open*10.0)*10.0))/($high+$low+$close+$open)/4)"
48,"LOG(INV(LOG(DELAY(VAR(INV(LOG(TS_PCTCHANGE(((10.0+$high)-1.0),1))),40),20))))"
5,"MEDIAN((LOG(((((POW(($high+$low+$close+$open)/4/(($high-10.0)-$open)),-5.0)-2.0)+$volume)*-2.0))-30.0),40)"
7,"VAR(LOG((LOG(INV(DELAY(DELTA(LOG(POW((0.5+$low),-30.0)),5),10)))/2.0)),40)"
8,"MEAN(LOG((((0.5-$open)*(2.0+$volume))-1.0)),20)"
45,"MAD((30.0/TS_PCTCHANGE(($open-30.0),5)),40)"
49,"LOG(LOG((MAD(TS_MAX(INV(DELTA(DELAY((1.0+$high),10),5)),5),40)+30.0)))"
9,"(TS_MAX(INV(POW(((INV(INV(INV(LOG((0.5/$open)))))-2.0),30.0)+0.5)),40)+-30.0)"
10,"POW(((LOG((LOG(INV((INV(LOG(((0.01-($high+$low+$close+$open)/4)/2.0)))-2.0)))+0.5))/-0.5)*-10.0),10.0)"
12,"(MAD((DELTA((-1.0/DELTA($close,5)),20)-30.0),30)+30.0)"
13,"(WMA((($high+$low+$close+$open)/4-($high*0.01)),5)*$volume)"
14,"DELAY(LOG((VAR(INV(((2.0-$high)/30.0)),20)-5.0)),5)"
15,(LOG(LOG($volume))-INV(LOG($close)))
16,"STD(((INV((((LOG((LOG((0.5-$open))+1.0))-1.0)*10.0)*1.0))--2.0)+-0.5),50)"
17,"CORR(LOG(($low*(($open-2.0)/(30.0/($high+$low+$close+$open)/4)))),((-10.0+(INV($volume)*2.0))+30.0),40)"
18,"(LOG((WMA(INV(SUM((-10.0-$high),50)),20)*$open))+5.0)"
19,"LOG(MEDIAN((STD(STD(MEAN(INV(INV(INV(VAR(LOG((-10.0-$high)),30)))),30),10),10)+30.0),20))"
20,"(((LOG(POW(((LOG(LOG(POW((0.01+$low),2.0)))-2.0)+0.5),5.0))*-2.0)/-0.5)/30.0)"
21,"LOG((LOG(INV(LOG(LOG((DELAY(INV((INV(MEDIAN(($low+-5.0),50))/1.0)),40)*10.0)))))/30.0))"
22,"(10.0+LOG(LOG(LOG((($close/0.01)/(1.0-($high+$low+$close+$open)/4))))))"
50,"MEAN(LOG(LOG(LOG(DELAY(TS_MAX(INV(LOG(ts_div(((1.0+$high)*1.0),5))),40),20)))),10)"
23,"INV(STD(((($high+$low+$close+$open)/4*MEAN(LOG(($open+5.0)),50))/30.0),30))"
24,"DELAY(MAD(INV(DELAY((0.5+$high),50)),30),5)"
46,"MAD((10.0/MAD((($high+$low+$close+$open)/4*10.0),5)),5)"
25,"STD(MEAN(INV(INV(STD((-10.0/TS_MIN($open,30)),30))),20),10)"
26,"(SUM($volume,20)+($open+5.0))"
27,"INV((LOG(POW((SUM((TS_PCTCHANGE(LOG(DELAY(($high+$low+$close+$open)/4,30)),1)+1.0),40)+10.0),-2.0))-($high+$low+$close+$open)/4))"
28,"(INV((WMA(LOG(MEAN((-30.0+$high),40)),30)*$close))-30.0)"
29,"LOG(((POW((ts_cov($open,$volume,20)*5.0),5.0)+DELAY($open,30))*LOG($close)))"
51,"LOG(INV(LOG(LOG((MAD(DELAY(INV(DELTA(DELAY((1.0+$high),10),5)),10),20)-30.0)))))"
47,"((LOG((VAR(MAD(INV((1.0*TS_PCTCHANGE(INV(($close-30.0)),5))),10),20)+-0.01))*30.0)/30.0)"
30,"LOG(DELAY(((LOG(LOG(MAD(INV((0.5-$close)),30)))/-5.0)/5.0),40))"
32,"POW((INV(INV(LOG(INV((0.5-($high+$low+$close+$open)/4)))))-1.0),5.0)"
34,"STD(DELAY(INV(LOG(STD((-10.0*TS_MAX($high,5)),20))),10),20)"
35,"LOG(LOG(WMA(INV((10.0-INV($close))),10)))"
36,"EMA(WMA(LOG((INV(SUM(LOG(MEAN((POW($volume/($close+10.0)),-30.0),10)),30))*10.0)),10),20)"
37,"((DELAY(LOG((LOG(POW((10.0/$open)--0.5)),10.0)),30)-INV((-5.0+($high+-0.01))))--1.0)"
38,"EMA(STD(INV(INV(LOG(ts_div(LOG((-10.0-$open)),20)))),5),20)"
39,"MAD((POW($low,-1.0)),10)"
40,"STD(POW(($low/$high),-30.0),50)"
42,"(INV((($high+$low+$close+$open)/4--2.0))-(TS_PCTCHANGE(MEAN(LOG(INV(DELAY($open,10))),30),30)+10.0))"
43,"TS_MIN((INV(INV((30.0+(LOG(($close*LOG(INV(DELAY(TS_MAX($close,50),5)))))+30.0))))*10.0),10)"
