factor_name,factor_expression
29,"((TS_DIV((SIGN(-10.0*($close/-10.0)) * LOG(ABS(-10.0*($close/-10.0)) +1e-6))/2.0,20)*-1.0) + POW(-5.0*$open, -2.0))"
30,"((SUM(0.01 + 1.0/($close+1e-6),20)/SIGN(SIGN(((-10.0/($volume-30.0+1e-6))*5.0*1.0)) * LOG(ABS((-10.0/($volume-30.0+1e-6))*5.0*1.0)+1e-6)) * LOG(ABS(SIGN(((-10.0/($volume-30.0+1e-6))*5.0*1.0)) * LOG(ABS((-10.0/($volume-30.0+1e-6))*5.0*1.0)+1e-6))+1e-6)))*-30.0)"
31,"(SIGN(TS_MAX(1.0/(1.0/(SIGN(0.01/($open+1e-6)) * LOG(ABS(0.01/($open+1e-6))+1e-6))) +30.0,40)*10.0 +10.0) * LOG(ABS(TS_MAX(1.0/(1.0/(SIGN(0.01/($open+1e-6)) * LOG(ABS(0.01/($open+1e-6))+1e-6))) +30.0,40)*10.0 +10.0)+1e-6))/5.0)"
32,"1.0/(SIGN(MEAN(ABS(-10.0*MEAN(ABS($close-2.0 - MEAN($close-2.0,10)),10) +0.5 - MEAN(-10.0*MEAN(ABS($close-2.0 - MEAN($close-2.0,10)),10) +0.5,20)),20)) * LOG(ABS(MEAN(ABS(-10.0*MEAN(ABS($close-2.0 - MEAN($close-2.0,10)),10) +0.5 - MEAN(-10.0*MEAN(ABS($close-2.0 - MEAN($close-2.0,10)),10) +0.5,20)),20))+1e-6))"
33,"SIGN(SIGN(SIGN(MEAN(ABS(SUM(MEDIAN(SIGN(SIGN(-0.5/($close*0.5+1e-6)) * LOG(ABS(-0.5/($close*0.5+1e-6))+1e-6)) * LOG(ABS(SIGN(-0.5/($close*0.5+1e-6)) * LOG(ABS(-0.5/($close*0.5+1e-6))+1e-6))+1e-6)*30.0,20) - MEAN(SUM(MEDIAN(SIGN(SIGN(-0.5/($close*0.5+1e-6)) * LOG(ABS(-0.5/($close*0.5+1e-6))+1e-6)) * LOG(ABS(SIGN(-0.5/($close*0.5+1e-6)) * LOG(ABS(-0.5/($close*0.5+1e-6))+1e-6))+1e-6)*30.0,20),40)),5)) * LOG(ABS(MEAN(ABS(SUM(...)))+1e-6)) * LOG(ABS(SIGN(MEAN(...)) * LOG(...)+1e-6))"
34,"MEAN(ABS(SIGN(5.0*(($volume + ($low*-30.0))/($close-0.5+1e-6)*-10.0)) * LOG(ABS(5.0*(($volume + ($low*-30.0))/($close-0.5+1e-6)*-10.0))+1e-6) -10.0 +2.0 - MEAN(SIGN(5.0*(($volume + ($low*-30.0))/($close-0.5+1e-6)*-10.0)) * LOG(ABS(5.0*(($volume + ($low*-30.0))/($close-0.5+1e-6)*-10.0))+1e-6) -10.0 +2.0,30)),30)"
35,"1.0/(SIGN(MEDIAN($low,50)) * LOG(ABS(MEDIAN($low,50))+1e-6) - $close)"
36,"1.0/(1.0/MEAN(ABS(SIGN(SUM(-0.01-$close + $high,10)) * LOG(ABS(SUM(-0.01-$close + $high,10))+1e-6) - MEAN(SIGN(SUM(-0.01-$close + $high,10)) * LOG(ABS(SUM(-0.01-$close + $high,10))+1e-6),20)),20) +0.01)"
37,"SIGN(SIGN(SIGN(STD(SIGN(SIGN(-10.0*($close-$high)) * LOG(ABS(-10.0*($close-$high))+1e-6)) * LOG(ABS(SIGN(-10.0*($close-$high)) * LOG(ABS(-10.0*($close-$high))+1e-6))+1e-6) -30.0,30)) * LOG(ABS(STD(...))+1e-6)) * LOG(ABS(SIGN(STD(...)) * LOG(...)+1e-6))"
38,"SIGN(SIGN(SIGN(STD(SIGN(SIGN(-10.0*($close-$low)) * LOG(ABS(-10.0*($close-$low))+1e-6)) * LOG(ABS(SIGN(-10.0*($close-$low)) * LOG(ABS(-10.0*($close-$low))+1e-6))+1e-6)*30.0,10)) * LOG(ABS(STD(...))+1e-6)) * LOG(ABS(SIGN(STD(...)) * LOG(...)+1e-6))"
39,"1.0/(SIGN(DELAY(SIGN(SIGN(SIGN(($close-1.0)/0.01) * LOG(ABS(($close-1.0)/0.01)+1e-6)*-0.5) * LOG(ABS(SIGN(($close-1.0)/0.01) * LOG(ABS(($close-1.0)/0.01)+1e-6)*-0.5)+1e-6)/0.5),20)) * LOG(ABS(DELAY(...))+1e-6))"
40,"1.0/(SIGN(-0.5/($close+1e-6) +10.0 -2.0) * LOG(ABS(-0.5/($close+1e-6) +10.0 -2.0)+1e-6) -1.0)"
41,"MEAN(ABS(1.0/MEAN(ABS(SIGN(-10.0+$close) * LOG(ABS(-10.0+$close)+1e-6) - MEAN(SIGN(-10.0+$close) * LOG(ABS(-10.0+$close)+1e-6),10)),10) +10.0 - MEAN(1.0/MEAN(...),10),10)"
42,"SIGN(1.0/(1.0/(-1.0*($close-0.5) +2.0 +1e-6) -0.5 +1e-6) -10.0) * LOG(ABS(1.0/(1.0/(-1.0*($close-0.5) +2.0 +1e-6) -0.5 +1e-6) -10.0)+1e-6)"
43,"(MEAN(1.0/STD($close + POW($close, ($close-0.5 -1.0)) +10.0,10),1) -5.0)"
44,"DELAY((SIGN(1.0/SUM($close,40)*-0.5) * LOG(ABS(1.0/SUM($close,40)*-0.5)+1e-6))/-10.0,20)"
45,"MEAN(MEAN(SIGN(SIGN($close*(MEAN(1.0/((2.0-$high)*-0.5 +1e-6) +2.0,5)*10.0)) * LOG(ABS($close*(MEAN(1.0/((2.0-$high)*-0.5 +1e-6) +2.0,5)*10.0))+1e-6)),10),20)"
46,"EMA(SIGN(MEAN(TS_MAX(1.0/(1.0/((0.01*$volume)/-1.0 +1e-6)/0.01 +1e-6),30)*10.0,40)) * LOG(ABS(MEAN(TS_MAX(...),40))+1e-6)*30.0,10)"
47,"SIGN(-5.0 + POW($close, WMA(DELAY($close/-1.0,5)+5.0,40))) * LOG(ABS(-5.0 + POW($close, WMA(DELAY($close/-1.0,5)+5.0,40)))+1e-6)"
48,"STD(SIGN(MEDIAN(30.0 + TS_MAX(1.0/WMA($low,10),10)*(1.0/($close+30.0 +1e-6)),20)) * LOG(ABS(MEDIAN(...))+1e-6),10)"
49,"(-30.0+(($close-$low)*$volume))"
